order_id,order_date,supplier_id,product_id,category,region,quantity_ordered,unit_cost,promised_lead_time_days,actual_lead_time_days,defect_rate_pct,stock_on_hand,avg_daily_demand,demand_std_dev,reorder_point
ORD_000001,2023-11-24,SUP_005,PRD_0032,Apparel,South,62,135.99,6,5,7.14,178,36.2,0.96,43
ORD_000002,2023-04-22,SUP_001,PRD_0072,Apparel,Central,224,45.65,10,11,4.71,13,46.0,2.82,128
ORD_000003,2023-06-24,SUP_013,PRD_0044,Electronics,North,204,21.15,11,11,6.78,1236,17.3,1.13,137
ORD_000004,2023-10-02,SUP_007,PRD_0011,Pharma,East,195,116.32,6,13,5.64,93,40.4,11.71,40
ORD_000005,2023-04-30,SUP_008,PRD_0082,FMCG,South,199,72.34,6,6,5.36,1437,56.3,9.9,175
ORD_000006,2023-11-22,SUP_004,PRD_0021,Industrial,West,148,197.93,8,9,5.12,1140,14.7,5.2,34
ORD_000007,2023-04-28,SUP_007,PRD_0035,Electronics,South,300,175.52,4,6,2.52,1342,31.0,13.33,184
ORD_000008,2023-08-23,SUP_004,PRD_0096,Pharma,Central,144,149.91,7,7,3.43,1195,25.2,3.68,55
ORD_000009,2023-09-18,SUP_001,PRD_0015,Apparel,South,226,120.09,18,17,3.08,1220,59.8,8.17,161
ORD_000010,2023-01-06,SUP_009,PRD_0097,FMCG,East,67,60.11,6,8,1.27,6,57.3,13.2,87
ORD_000011,2023-09-14,SUP_002,PRD_0081,FMCG,Central,111,32.26,8,9,6.1,1104,57.3,13.88,20
ORD_000012,2023-11-03,SUP_002,PRD_0047,FMCG,South,39,49.69,13,14,4.54,161,7.0,7.55,37
ORD_000013,2023-09-30,SUP_008,PRD_0071,Apparel,East,280,174.74,7,7,3.39,433,55.9,11.45,196
ORD_000014,2023-04-13,SUP_011,PRD_0084,FMCG,West,274,91.39,12,12,1.98,131,21.6,9.03,78
ORD_000015,2023-10-29,SUP_012,PRD_0081,Electronics,South,44,181.27,10,9,6.88,145,31.8,4.54,144
ORD_000016,2023-04-20,SUP_015,PRD_0074,Pharma,West,134,157.35,20,20,6.46,389,7.5,10.06,110
